descricao,valor,categoria
Fisioterapia ReviveMed,187.76,Saude
Posto Shell,73.34,Transporte
Farmacia Popular,371.02,Saude
Gas Ultragaz,381.72,Moradia
Aluguel Residencial Imovel,372.77,Moradia
Plano Odontologico Amil Dental,43.23,Saude
Oficina Mecanica Silva,79.71,Transporte
Padaria Sao Jose,31.4,Alimentacao
Conta de Agua,385.98,Moradia
Livraria Cultura Didatica,62.61,Educacao
Onibus Metropolitano,77.11,Transporte
Posto Ipiranga,31.93,Transporte
Padaria Ponto do Pao,19.32,Alimentacao
Cinema Cinemark,22.76,Lazer
Metro Bilhete Unico,33.72,Transporte
Internet Vivo Fibra,391.81,Moradia
Livraria Cultura Didatica,87.85,Educacao
Fisioterapia ReviveMed,353.82,Saude
Mercado Dia a Dia,24.93,Alimentacao
Supermercado Pao de Acucar,47.27,Alimentacao
Feira Livre do Bairro,68.49,Alimentacao
Aplicativo InDrive,56.33,Transporte
Curso Profissionalizante,343.49,Educacao
Conta de Agua,166.32,Moradia
Plano de Saude Unimed,464.69,Saude
Cinema Kinoplex,5.05,Lazer
Farmacia Nissei,93.67,Saude
Manicure a Domicilio,16.54,Servicos
Bar do Amigo,14.0,Lazer
Streaming Amazon Prime,25.52,Lazer
Seguro Residencial Porto,270.75,Moradia
Posto BR Mania,36.7,Transporte
Posto BR Mania,65.93,Transporte
Gas Ultragaz,363.04,Moradia
Moveis Tok e Stok,510.5,Moradia
Plano Odontologico OdontoPrev,98.24,Saude
Mercadinho Bom Preco,64.02,Alimentacao
Restaurante Sabor Caseiro,40.94,Alimentacao
Manicure a Domicilio,74.12,Servicos
Clinica Odontologica Bem Estar,238.65,Saude
Conserto de Eletronicos,16.7,Servicos
iFood Delivery,76.63,Alimentacao
Restaurante Sabor Caseiro,26.88,Alimentacao
Pedagio Sem Parar,33.84,Transporte
Curso Online Udemy,201.51,Educacao
Barbearia Vintage,55.81,Servicos
Onibus Metropolitano,23.73,Transporte
Laboratorio Exame Hermes Pardini,82.84,Saude
Combustivel Etanol,41.79,Transporte
Aplicativo Uber,34.54,Transporte
Assistencia Tecnica Eletronicos,37.11,Servicos
Passeio Parque Aquatico,38.54,Lazer
Barbearia Vintage,19.18,Servicos
Posto Shell,39.02,Transporte
Fisioterapia ReviveMed,205.0,Saude
Internet Claro Fibra,269.64,Moradia
Feira Livre do Bairro,48.0,Alimentacao
Boliche Fun Center,14.69,Lazer
Lava Rapido Total,62.01,Transporte
Padaria Ponto do Pao,73.11,Alimentacao
Cinema Kinoplex,33.83,Lazer
Balada Clube Noturno,18.49,Lazer
Curso Profissionalizante,136.07,Educacao
Bar da Esquina,26.22,Lazer
Plano de Saude Amil,66.89,Saude
Aplicativo 99,38.92,Transporte
Material Escolar Didatico,79.53,Educacao
Onibus Intermunicipal,34.49,Transporte
Manicure a Domicilio,26.43,Servicos
Aplicativo Uber,25.24,Transporte
Clinica Odontologica Sorriso,118.92,Saude
Passeio Parque Aquatico,37.17,Lazer
Abastecimento Veiculo,57.25,Transporte
Farmacia Droga Raia,96.72,Saude
Salao de Beleza Vintage,15.82,Servicos
Remedio Farmacia,355.97,Saude
Aplicativo 99,47.67,Transporte
Farmacia Pague Menos,175.79,Saude
Fisioterapia ReviveMed,140.86,Saude
Salao de Beleza Charme,68.84,Servicos
Estacionamento Multipark,32.99,Transporte
Aplicativo InDrive,47.04,Transporte
Streaming Spotify Premium,21.32,Lazer
Boliche Fun Center,21.44,Lazer
Mensalidade Faculdade Estacio,202.81,Educacao
Internet Claro Fibra,370.22,Moradia
Protecao Veicular Porto Seguro,51.97,Transporte
Parque Aquatico Wet Fun,8.95,Lazer
Farmacia Popular,150.2,Saude
Auto Pecas Brasil,25.0,Transporte
Oficina Mecanica Rapida,49.47,Transporte
Hospital Sao Marcos,138.21,Saude
Energia Cemig,274.02,Moradia
Internet Oi Fibra,322.79,Moradia
Conta de Luz,168.45,Moradia
Feira Livre do Bairro,98.05,Alimentacao
Streaming Deezer,19.34,Lazer
Farmacia Popular,59.49,Saude
Moveis Etna,203.64,Moradia
Onibus Metropolitano,44.74,Transporte
Onibus Metropolitano,23.39,Transporte
Clinica Odontologica Sorriso,55.96,Saude
Supermercado Extra,37.65,Alimentacao
Salao de Beleza Estilo,7.58,Servicos
Assistencia Tecnica Eletronicos,50.28,Servicos
Servico de Fotografia,19.35,Servicos
Auto Pecas Brasil,67.72,Transporte
Mensalidade Faculdade Estacio,63.65,Educacao
Rappi Delivery,22.2,Alimentacao
Consulta Medica Particular,150.67,Saude
Balada Clube Noturno,65.79,Lazer
Salao de Beleza Charme,11.26,Servicos
Mercadinho Bom Preco,132.6,Alimentacao
Costureira do Bairro,73.05,Servicos
Mensalidade Faculdade Estacio,253.6,Educacao
Material Escolar Didatico,73.05,Educacao
Posto Ipiranga,40.12,Transporte
Passeio Parque Aquatico,12.54,Lazer
Streaming Disney Plus,14.86,Lazer
Passeio Parque Aquatico,39.87,Lazer
Condominio Residencial Sol,96.29,Moradia
Conta de Luz,343.17,Moradia
Streaming Netflix,25.61,Lazer
Lavanderia Rapida,10.86,Servicos
Supermercado Extra,122.59,Alimentacao
Internet Vivo Fibra,543.41,Moradia
Mercado Atacadao,101.06,Alimentacao
Supermercado Extra,40.25,Alimentacao
Chaveiro 24 Horas,17.66,Servicos
Mercadinho da Vila,140.66,Alimentacao
Farmacia Nissei,127.61,Saude
Assistencia Tecnica Celular,15.68,Servicos
Barbearia Vintage,10.97,Servicos
Academia Bio Ritmo,131.55,Saude
Supermercado Big Bompreco,80.05,Alimentacao
Barbearia Moderna,31.94,Servicos
Material Escolar Didatico,41.85,Educacao
Livraria Saraiva,180.43,Educacao
Plano de Saude SulAmerica,44.88,Saude
Buffet de Eventos Tematico,85.6,Lazer
Metro Bilhete Unico,30.77,Transporte
Clinica Odontologica Sorriso,308.89,Saude
Farmacia Extrafarma,66.72,Saude
Acougue do Ze,86.75,Alimentacao
Padaria Ponto do Pao,12.45,Alimentacao
Mercadinho da Vila,38.46,Alimentacao
Hortifruti Verde Vida,35.05,Alimentacao
Balada Clube Noturno,13.37,Lazer
Supermercado Big Bompreco,101.0,Alimentacao
Plano de Saude Amil,52.95,Saude
Padaria Doce Vida,89.63,Alimentacao
Curso Tecnico Senai,67.5,Educacao
Pedagio Sem Parar,51.18,Transporte
Hortifruti Verde Vida,50.41,Alimentacao
Material de Construcao Leroy Merlin,205.44,Moradia
Bar da Esquina,24.85,Lazer
Plano de Saude Amil,179.04,Saude
Chaveiro 24 Horas,8.72,Servicos
Acougue Boi Bom,29.47,Alimentacao
Academia Smart Fit,88.14,Saude
Passeio Parque Aquatico,44.81,Lazer
Barbearia Classica,12.33,Servicos
Parque de Diversoes,7.49,Lazer
Mensalidade Escola Objetivo,72.16,Educacao
Supermercado Extra,50.5,Alimentacao
Lavanderia Express,10.83,Servicos
Supermercado Pao de Acucar,11.78,Alimentacao
Plano Odontologico OdontoPrev,104.58,Saude
Lavanderia Express,25.56,Servicos
Restaurante Prato Feito,60.14,Alimentacao
Farmacia Droga Raia,131.62,Saude
Mercadinho Bom Preco,49.96,Alimentacao
Rappi Delivery,157.06,Alimentacao
Balada Clube Noturno,27.54,Lazer
Salao de Beleza Vintage,15.96,Servicos
Condominio Edificio Central,144.26,Moradia
Parque Aquatico Wet Fun,17.55,Lazer
Energia Enel,311.69,Moradia
Onibus Metropolitano,34.94,Transporte
Cinema Ingresso Show,24.48,Lazer
Gas Comgas,441.79,Moradia
Salao de Beleza Estilo,32.16,Servicos
Papelaria Escolar Center,415.79,Educacao
Cinema Cinemark,42.38,Lazer
Supermercado Big Bompreco,22.59,Alimentacao
Lanchonete Central,55.87,Alimentacao
Plano Odontologico OdontoPrev,219.14,Saude
Energia Enel,415.21,Moradia
Conserto de Eletronicos,21.68,Servicos
Mensalidade Faculdade Anhanguera,70.02,Educacao
Curso Online Udemy,48.48,Educacao
Pet Shop Bicho Feliz,64.71,Servicos
Farmacia Droga Raia,70.9,Saude
Curso Online Udemy,135.85,Educacao
Barbearia Vintage,31.5,Servicos
Mercado Dia a Dia,31.16,Alimentacao
Feira Livre Central,39.27,Alimentacao
Combustivel Gasolina,88.24,Transporte
Assistencia Tecnica Celular,8.43,Servicos
Farmacia Droga Raia,122.01,Saude
Assistencia Tecnica Eletronicos,15.92,Servicos
Feira Livre do Bairro,57.17,Alimentacao
Conta de Agua,187.4,Moradia
Livraria Livraria Nobel,231.67,Educacao
Buffet de Eventos Tematico,74.83,Lazer
Aplicativo 99,95.94,Transporte
Combustivel Etanol,32.68,Transporte
Seguro Residencial Bradesco,251.09,Moradia
Mercado Atacadao,52.27,Alimentacao
Mensalidade Faculdade Unip,105.43,Educacao
Lavanderia Express,36.7,Servicos
Hospital Sao Marcos,199.5,Saude
Curso de Ingles Wizard,76.38,Educacao
Onibus Intermunicipal,41.2,Transporte
Papelaria Nobre,40.03,Educacao
Acougue Boi Bom,23.09,Alimentacao
Seguro Residencial Porto,227.05,Moradia
Supermercado Carrefour,70.76,Alimentacao
Academia Bio Ritmo,166.45,Saude
Pedagio Via Facil,43.24,Transporte
Aplicativo Uber,49.37,Transporte
Lanchonete Central,76.23,Alimentacao
Chaveiro 24 Horas,22.42,Servicos
Streaming Netflix,16.85,Lazer
Curso de Ingles Wizard,146.07,Educacao
Psicologo Consulta Online,79.43,Saude
Moveis Etna,190.25,Moradia
Farmacia Popular,101.53,Saude
Academia Smart Fit,169.45,Saude
Posto Ale,42.26,Transporte
Aplicativo 99,37.24,Transporte
Aluguel Casa Jardim,433.73,Moradia
Curso Preparatorio Vestibular,166.79,Educacao
Farmacia Pague Menos,530.28,Saude
Salao de Beleza Charme,20.0,Servicos
Supermercado Big Bompreco,120.57,Alimentacao
Plano de Saude SulAmerica,148.71,Saude
Padaria Doce Vida,39.7,Alimentacao
Curso Preparatorio Vestibular,74.19,Educacao
Auto Pecas Brasil,57.2,Transporte
Fisioterapia ReviveMed,87.11,Saude
Supermercado Assai,37.78,Alimentacao
Feira Livre Central,54.03,Alimentacao
Moveis Etna,596.66,Moradia
Parque de Diversoes,19.3,Lazer
Pet Shop Bicho Feliz,32.41,Servicos
Parque de Diversoes,25.14,Lazer
Lavanderia Express,24.21,Servicos
Mensalidade Faculdade Unip,108.01,Educacao
Passeio Parque Aquatico,16.2,Lazer
Padaria Doce Vida,72.87,Alimentacao
Plano de Saude Amil,73.11,Saude
Supermercado Big Bompreco,16.84,Alimentacao
Assistencia Tecnica Eletronicos,26.41,Servicos
Cinema Cinemark,13.18,Lazer
Restaurante Prato Feito,95.74,Alimentacao
Salao de Beleza Charme,24.46,Servicos
Material de Construcao Leroy Merlin,142.65,Moradia
Barbearia Vintage,11.9,Servicos
iFood Delivery,28.88,Alimentacao
Mercadinho Bom Preco,66.29,Alimentacao
Mensalidade Faculdade Estacio,98.64,Educacao
Salao de Beleza Charme,71.22,Servicos
Pedagio Via Facil,22.52,Transporte
Padaria Ponto do Pao,47.66,Alimentacao
Plano de Saude Unimed,174.97,Saude
Energia CPFL,303.87,Moradia
Streaming Disney Plus,23.67,Lazer
Streaming Disney Plus,29.31,Lazer
Curso de Ingles CNA,87.86,Educacao
Curso Profissionalizante,103.64,Educacao
Salao de Beleza Vintage,46.12,Servicos
Onibus Intermunicipal,26.37,Transporte
Barbearia Vintage,51.32,Servicos
Assinatura Duolingo Plus,56.86,Educacao
Onibus Intermunicipal,20.01,Transporte
Papelaria Kalunga,60.87,Educacao
Barbearia Moderna,25.17,Servicos
Plano de Saude Unimed,68.16,Saude
Energia Cemig,417.71,Moradia
Salao de Beleza Estilo,13.75,Servicos
Agua e Esgoto Sabesp,222.39,Moradia
Curso de Ingles Wizard,98.8,Educacao
Mensalidade Faculdade Anhanguera,48.24,Educacao
Protecao Veicular Porto Seguro,63.04,Transporte
Streaming Netflix,9.21,Lazer
Feira Livre do Bairro,73.22,Alimentacao
Cinema Kinoplex,14.46,Lazer
Pet Shop Bicho Feliz,31.72,Servicos
Clinica Odontologica Sorriso,395.2,Saude
Supermercado Carrefour,51.17,Alimentacao
Auto Pecas Center,18.27,Transporte
Pet Shop Amigo Fiel,26.82,Servicos
Supermercado Assai,24.12,Alimentacao
Aplicativo InDrive,30.72,Transporte
Plano de Saude Amil,227.98,Saude
Assistencia Tecnica Celular,22.26,Servicos
Barbearia Classica,12.21,Servicos
Condominio Residencial Sol,233.12,Moradia
Lavanderia Express,62.85,Servicos
Supermercado Carrefour,36.85,Alimentacao
Internet Tim Live,90.73,Moradia
Oficina Mecanica Silva,84.51,Transporte
Streaming Disney Plus,31.74,Lazer
Cinema Kinoplex,38.89,Lazer
Rappi Delivery,23.6,Alimentacao
Salao de Beleza Charme,4.54,Servicos
Mensalidade Faculdade Anhanguera,196.34,Educacao
Acougue Central,82.18,Alimentacao
Laboratorio Exame Fleury,153.6,Saude
Mercado Atacadao,40.46,Alimentacao
Revisao Automotiva Center,97.45,Transporte
Academia Bio Ritmo,267.3,Saude
Farmacia Extrafarma,134.88,Saude
Hortifruti Sao Joao,39.03,Alimentacao
Costureira do Bairro,7.01,Servicos
Clinica Odontologica Bem Estar,94.06,Saude
Posto BR Mania,61.12,Transporte
Abastecimento Veiculo,52.66,Transporte
Condominio Edificio Central,438.47,Moradia
Mensalidade Faculdade Unip,195.18,Educacao
Livraria Cultura Didatica,55.12,Educacao
Lavanderia Rapida,9.76,Servicos
Fisioterapia ReviveMed,366.9,Saude
Parque Aquatico Wet Fun,14.7,Lazer
Salao de Beleza Estilo,21.38,Servicos
Internet Oi Fibra,308.49,Moradia
Passeio Parque Aquatico,58.89,Lazer
Conserto de Eletronicos,47.45,Servicos
Passeio Parque Aquatico,9.17,Lazer
Plano de Saude Amil,75.86,Saude
Energia Light,247.95,Moradia
Protecao Veicular Porto Seguro,21.12,Transporte
Lavanderia Express,12.04,Servicos
Farmacia Popular,130.71,Saude
Balada Clube Noturno,56.73,Lazer
Parque de Diversoes,16.26,Lazer
Feira Livre Central,68.53,Alimentacao
Mensalidade Faculdade Anhanguera,81.66,Educacao
Cinema Ingresso Show,25.04,Lazer
Plano de Saude Unimed,54.75,Saude
Livraria Livraria Nobel,198.57,Educacao
Moveis Tok e Stok,207.87,Moradia
Curso Online Udemy,99.26,Educacao
Mensalidade Faculdade Estacio,61.89,Educacao
Posto Ipiranga,43.69,Transporte
Padaria Sao Jose,42.04,Alimentacao
Papelaria Kalunga,164.83,Educacao
Farmacia Nissei,140.32,Saude
Farmacia Nissei,215.37,Saude
Mercadinho Bom Preco,46.75,Alimentacao
Barbearia Vintage,11.84,Servicos
Reforma Casa e Cia,505.55,Moradia
Psicologo Consulta Online,312.44,Saude
Condominio Residencial Sol,631.66,Moradia
Mensalidade Escola Objetivo,84.69,Educacao
Farmacia Extrafarma,66.14,Saude
Psicologo Consulta Online,213.79,Saude
Estacionamento Zona Azul,32.53,Transporte
Barbearia Vintage,20.47,Servicos
Streaming HBO Max,61.61,Lazer
Balada Clube Noturno,11.19,Lazer
Consulta Medica Clinica Vida,78.38,Saude
Lava Rapido Brilho,22.54,Transporte
Seguro Residencial Porto,254.16,Moradia
Barbearia Classica,83.34,Servicos
Feira Livre do Bairro,29.81,Alimentacao
Metro Bilhete Unico,20.51,Transporte
Posto BR Mania,29.19,Transporte
Papelaria Kalunga,77.0,Educacao
Combustivel Gasolina,49.41,Transporte
Estacionamento Zona Azul,43.35,Transporte
Acougue Central,47.88,Alimentacao
Livraria Cultura Didatica,24.49,Educacao
Assistencia Tecnica Eletronicos,9.82,Servicos
Estacionamento Zona Azul,24.68,Transporte
Barbearia Classica,29.41,Servicos
Restaurante Prato Feito,12.12,Alimentacao
Internet Vivo Fibra,636.26,Moradia
Posto Ipiranga,42.03,Transporte
Posto BR Mania,37.97,Transporte
Mercadinho Bom Preco,87.99,Alimentacao
Plano de Saude Unimed,192.83,Saude
Energia Cemig,390.19,Moradia
Curso Preparatorio Vestibular,256.66,Educacao
Streaming Spotify Premium,25.33,Lazer
Feira Livre Central,56.55,Alimentacao
Salao de Beleza Vintage,20.07,Servicos
Livraria Livraria Nobel,126.19,Educacao
Curso de Ingles CNA,133.41,Educacao
Plano Odontologico Amil Dental,175.99,Saude
Internet Tim Live,267.19,Moradia
Laboratorio Exame Fleury,38.49,Saude
Conta de Luz,247.74,Moradia
Restaurante Temperinho,34.14,Alimentacao
Pet Shop Bicho Feliz,51.49,Servicos
Plano de Saude Amil,61.28,Saude
Mercadinho Bom Preco,225.36,Alimentacao
Streaming Amazon Prime,23.67,Lazer
Lava Rapido Total,34.43,Transporte
Salao de Beleza Estilo,26.64,Servicos
Pedagio Sem Parar,35.53,Transporte
Onibus Metropolitano,25.17,Transporte
Passeio Parque Aquatico,8.04,Lazer
Streaming HBO Max,14.29,Lazer
Bar da Esquina,10.46,Lazer
Supermercado Pao de Acucar,69.24,Alimentacao
Passeio Parque Aquatico,17.89,Lazer
Oficina Mecanica Silva,73.61,Transporte
Streaming Disney Plus,8.55,Lazer
Streaming Netflix,16.61,Lazer
Internet Tim Live,443.39,Moradia
Fisioterapia ReviveMed,124.94,Saude
Internet Claro Fibra,202.27,Moradia
Reforma Casa e Cia,436.95,Moradia
Conta de Luz,251.39,Moradia
Material de Construcao Leroy Merlin,444.01,Moradia
Rappi Delivery,29.61,Alimentacao
Cinema Cinemark,8.43,Lazer
Supermercado Assai,37.44,Alimentacao
Psicologo Consulta Online,143.72,Saude
Gas Comgas,299.9,Moradia
Parque Aquatico Wet Fun,23.95,Lazer
Cinema Ingresso Show,8.16,Lazer
Buffet de Eventos Tematico,15.36,Lazer
Curso Online Coursera,76.55,Educacao
Abastecimento Veiculo,50.91,Transporte
Buffet de Eventos Tematico,16.44,Lazer
Manicure a Domicilio,8.08,Servicos
Mensalidade Faculdade Estacio,58.21,Educacao
Supermercado Pao de Acucar,51.54,Alimentacao
Pet Shop Amigo Fiel,20.94,Servicos
Plano de Saude Unimed,145.96,Saude
Streaming Amazon Prime,15.77,Lazer
Agua e Esgoto Sabesp,144.69,Moradia
Parque de Diversoes,53.52,Lazer
Streaming Spotify Premium,13.83,Lazer
Conserto de Eletronicos,9.87,Servicos
Assinatura Duolingo Plus,149.18,Educacao
Conta de Luz,639.06,Moradia
Protecao Veicular Porto Seguro,45.26,Transporte
Laboratorio Exame Hermes Pardini,181.61,Saude
Assistencia Tecnica Celular,17.61,Servicos
Boliche Fun Center,36.77,Lazer
Consulta Medica Clinica Vida,64.98,Saude
Farmacia Drogasil,172.86,Saude
Lava Rapido Total,45.6,Transporte
Material de Construcao Leroy Merlin,535.83,Moradia
Assistencia Tecnica Eletronicos,54.85,Servicos
Plano de Saude Unimed,95.52,Saude
Livraria Livraria Nobel,309.17,Educacao
Material de Construcao Casa Show,549.01,Moradia
Curso Online Udemy,71.85,Educacao
Curso de Ingles CNA,48.92,Educacao
Parque Aquatico Wet Fun,52.89,Lazer
Restaurante Temperinho,19.64,Alimentacao
Protecao Veicular Allianz,30.57,Transporte
Salao de Beleza Charme,75.28,Servicos
Mensalidade Faculdade Anhanguera,73.09,Educacao
Curso Online Coursera,324.41,Educacao
Lavanderia Express,19.02,Servicos
Estacionamento Multipark,37.7,Transporte
Posto Ale,36.73,Transporte
Curso Preparatorio Vestibular,58.61,Educacao
Rappi Delivery,134.57,Alimentacao
Acougue Central,48.76,Alimentacao
Padaria Ponto do Pao,23.5,Alimentacao
Salao de Beleza Charme,15.35,Servicos
Conta de Luz,253.68,Moradia
Hortifruti Verde Vida,61.85,Alimentacao
Salao de Beleza Charme,18.14,Servicos
Protecao Veicular Porto Seguro,105.22,Transporte
Farmacia Extrafarma,114.47,Saude
Salao de Beleza Estilo,12.04,Servicos
Acougue Central,42.88,Alimentacao
Boliche Fun Center,11.77,Lazer
Restaurante Prato Feito,97.9,Alimentacao
Barbearia Vintage,26.72,Servicos
Parque Aquatico Wet Fun,26.46,Lazer
Imobiliaria Confianca,377.77,Moradia
Pedagio Sem Parar,43.56,Transporte
Bar do Amigo,54.8,Lazer
Posto Ale,16.25,Transporte
Hortifruti Verde Vida,50.72,Alimentacao
Mensalidade Escola Objetivo,134.17,Educacao
Aplicativo InDrive,28.95,Transporte
Internet Oi Fibra,280.69,Moradia
Abastecimento Veiculo,23.94,Transporte
Passeio Parque Aquatico,10.62,Lazer
Aluguel Residencial Imovel,218.47,Moradia
Plano Odontologico Amil Dental,85.45,Saude
Pet Shop Bicho Feliz,37.35,Servicos
Conta de Agua,417.74,Moradia
Pet Shop Bicho Feliz,16.67,Servicos
Oficina Mecanica Rapida,42.54,Transporte
Mercadinho da Vila,32.51,Alimentacao
Protecao Veicular Porto Seguro,86.82,Transporte
Streaming Amazon Prime,88.62,Lazer
Curso Tecnico Senai,170.0,Educacao
Lavanderia Express,8.11,Servicos
Padaria Ponto do Pao,28.58,Alimentacao
Livraria Cultura Didatica,48.73,Educacao
Cinema Ingresso Show,6.94,Lazer
Acougue Boi Bom,57.12,Alimentacao
Abastecimento Veiculo,30.96,Transporte
Streaming Spotify Premium,28.09,Lazer
Restaurante Temperinho,20.83,Alimentacao
Mensalidade Escola Positivo,36.25,Educacao
Assistencia Tecnica Celular,69.23,Servicos
Buffet de Eventos Tematico,35.95,Lazer
Mensalidade Faculdade Unip,82.78,Educacao
Bar da Esquina,40.18,Lazer
Laboratorio Exame Fleury,145.28,Saude
Curso de Ingles Fisk,53.58,Educacao
Restaurante Temperinho,48.34,Alimentacao
Supermercado Big Bompreco,50.78,Alimentacao
Barbearia Moderna,126.4,Servicos
Curso Online Alura,25.28,Educacao
Gas Ultragaz,452.49,Moradia
Salao de Beleza Charme,46.37,Servicos
Farmacia Nissei,94.73,Saude
Passeio Parque Aquatico,9.24,Lazer
Laboratorio Exame Hermes Pardini,148.1,Saude
Farmacia Pague Menos,100.37,Saude
Onibus Intermunicipal,181.63,Transporte
Pedagio Sem Parar,52.17,Transporte
Oficina Mecanica Rapida,23.06,Transporte
Streaming Spotify Premium,27.06,Lazer
Protecao Veicular Porto Seguro,35.44,Transporte
Mensalidade Faculdade Anhanguera,28.54,Educacao
Curso Profissionalizante,51.29,Educacao
Remedio Farmacia,101.24,Saude
Posto BR Mania,29.17,Transporte
Livraria Saraiva,89.03,Educacao
Padaria Sao Jose,61.54,Alimentacao
Internet Claro Fibra,256.67,Moradia
Mercadinho da Vila,77.75,Alimentacao
Cinema Cinemark,60.75,Lazer
Balada Clube Noturno,64.48,Lazer
Aplicativo 99,52.47,Transporte
Papelaria Nobre,79.84,Educacao
Agua e Esgoto Copasa,473.33,Moradia
Cinema Ingresso Show,13.06,Lazer
Posto Ale,29.29,Transporte
Onibus Intermunicipal,80.98,Transporte
Mensalidade Faculdade Estacio,62.29,Educacao
Combustivel Etanol,36.23,Transporte
Papelaria Escolar Center,57.19,Educacao
Streaming HBO Max,23.89,Lazer
Curso Online Alura,163.01,Educacao
Cinema Kinoplex,16.91,Lazer
Internet Tim Live,684.82,Moradia
Lanchonete do Povo,40.17,Alimentacao
Papelaria Escolar Center,38.74,Educacao
Costureira do Bairro,10.18,Servicos
Papelaria Nobre,97.99,Educacao
Posto Ale,27.35,Transporte
Imobiliaria Confianca,279.97,Moradia
Aluguel Casa Jardim,568.62,Moradia
Barbearia Classica,32.52,Servicos
Aluguel Residencial Imovel,284.68,Moradia
Aplicativo 99,75.42,Transporte
Gas Comgas,598.09,Moradia
Bar da Esquina,46.09,Lazer
Combustivel Gasolina,39.73,Transporte
Mensalidade Escola Objetivo,168.11,Educacao
Conserto de Eletronicos,14.15,Servicos
Pedagio Sem Parar,43.68,Transporte
Auto Pecas Brasil,28.79,Transporte
Barbearia Moderna,22.68,Servicos
Cinema Kinoplex,8.68,Lazer
Boliche Fun Center,44.64,Lazer
Livraria Saraiva,134.76,Educacao
Cinema Kinoplex,5.24,Lazer
Boliche Fun Center,47.66,Lazer
Streaming Deezer,37.65,Lazer
Rappi Delivery,46.99,Alimentacao
Consulta Medica Clinica Vida,134.78,Saude
Conta de Agua,396.21,Moradia
Lava Rapido Total,51.95,Transporte
Acougue do Ze,53.68,Alimentacao
Aplicativo Uber,26.12,Transporte
Mensalidade Faculdade Unip,56.06,Educacao
Mercadinho Bom Preco,67.25,Alimentacao
Papelaria Nobre,176.97,Educacao
Auto Pecas Center,58.47,Transporte
Metro Bilhete Unico,22.95,Transporte
Restaurante Temperinho,30.66,Alimentacao
Auto Pecas Center,57.41,Transporte
iFood Delivery,33.86,Alimentacao
Acougue Boi Bom,20.26,Alimentacao
Mensalidade Escola Bilingue,78.81,Educacao
Clinica Odontologica Bem Estar,139.15,Saude
Streaming Amazon Prime,12.17,Lazer
Supermercado Extra,96.32,Alimentacao
Curso Online Udemy,58.05,Educacao
Streaming Deezer,15.42,Lazer
Salao de Beleza Estilo,15.15,Servicos
Farmacia Drogasil,276.65,Saude
Plano Odontologico OdontoPrev,385.46,Saude
Mercadinho Bom Preco,22.08,Alimentacao
Salao de Beleza Vintage,26.31,Servicos
Lava Rapido Brilho,35.39,Transporte
Internet Vivo Fibra,280.01,Moradia
Padaria Ponto do Pao,55.37,Alimentacao
Farmacia Droga Raia,345.3,Saude
Seguro Residencial Porto,621.85,Moradia
Posto BR Mania,38.07,Transporte
Plano de Saude Amil,318.94,Saude
Material Escolar Didatico,181.63,Educacao
Curso Online Coursera,57.25,Educacao
Streaming Netflix,20.14,Lazer
Oficina Mecanica Silva,95.7,Transporte
Estacionamento Zona Azul,51.93,Transporte
Hospital Sao Marcos,369.68,Saude
Farmacia Popular,312.45,Saude
Restaurante Prato Feito,49.48,Alimentacao
Padaria Bela Vista,31.77,Alimentacao
Curso de Ingles CNA,44.14,Educacao
Salao de Beleza Vintage,13.91,Servicos
Gas Ultragaz,544.55,Moradia
Mercado Dia a Dia,33.08,Alimentacao
Lava Rapido Total,37.0,Transporte
Assistencia Tecnica Eletronicos,34.64,Servicos
Restaurante Temperinho,30.02,Alimentacao
Combustivel Etanol,33.35,Transporte
Gas Comgas,283.03,Moradia
Energia Cemig,519.56,Moradia
Conta de Luz,420.79,Moradia
Combustivel Etanol,31.28,Transporte
Padaria Doce Vida,45.27,Alimentacao
Mensalidade Faculdade Anhanguera,103.04,Educacao
Barbearia Moderna,13.16,Servicos
Padaria Ponto do Pao,25.65,Alimentacao
Moveis Etna,350.69,Moradia
Academia Bio Ritmo,65.53,Saude
Lavanderia Rapida,16.72,Servicos
Aplicativo InDrive,31.16,Transporte
Curso Profissionalizante,484.91,Educacao
Energia Cemig,225.89,Moradia
Acougue Central,41.71,Alimentacao
Streaming Deezer,13.02,Lazer
Clinica Odontologica Sorriso,185.9,Saude
Mensalidade Faculdade Anhanguera,171.47,Educacao
Assinatura Duolingo Plus,69.36,Educacao
Mensalidade Faculdade Unip,93.25,Educacao
Parque de Diversoes,66.66,Lazer
Barbearia Moderna,27.95,Servicos
Plano Odontologico OdontoPrev,63.43,Saude
Posto BR Mania,47.17,Transporte
Posto BR Mania,34.79,Transporte
Farmacia Pague Menos,198.97,Saude
Hospital Sao Marcos,57.45,Saude
Mensalidade Escola Positivo,52.46,Educacao
Buffet de Eventos Tematico,19.12,Lazer
Assistencia Tecnica Celular,25.77,Servicos
Bar da Esquina,25.0,Lazer
Plano de Saude SulAmerica,89.9,Saude
Lanchonete Central,83.86,Alimentacao
Mensalidade Escola Positivo,205.46,Educacao
Hospital Sao Marcos,120.72,Saude
Farmacia Nissei,160.41,Saude
Mensalidade Faculdade Estacio,179.16,Educacao
Livraria Cultura Didatica,70.91,Educacao
Condominio Residencial Sol,460.84,Moradia
Streaming Disney Plus,18.22,Lazer
Lanchonete do Povo,42.14,Alimentacao
Manicure a Domicilio,19.29,Servicos
Farmacia Nissei,93.59,Saude
Fisioterapia ReviveMed,456.77,Saude
